label_en,ucum,qname,prefix
ampere,A,A,FALSE
candela,cd,cd,FALSE
kelvin,K,K,FALSE
gram,g,g,FALSE
metre,m,m,FALSE
mole,mol,mol,FALSE
second,s,s,FALSE
yotta,Y,Y,TRUE
zetta,Z,Z,TRUE
exa,E,E,TRUE
peta,P,P,TRUE
tera,T,T,TRUE
giga,G,G,TRUE
mega,M,M,TRUE
kilo,k,k,TRUE
hecto,h,h,TRUE
deca,da,da,TRUE
deci,d,d,TRUE
centi,c,c,TRUE
milli,m,m,TRUE
micro,u,u,TRUE
nano,n,n,TRUE
pico,p,p,TRUE
femto,f,f,TRUE
atto,a,a,TRUE
zepto,z,z,TRUE
yocto,y,y,TRUE
becquerel,Bq,Bq,FALSE
coulomb,C,C,FALSE
degree Celsius,Cel,Cel,FALSE
farad,F,F,FALSE
gray,Gy,Gy,FALSE
henry,H,H,FALSE
hertz,Hz,Hz,FALSE
joule,J,J,FALSE
katal,kat,kat,FALSE
lumen,lm,lm,FALSE
lux,lx,lx,FALSE
newton,N,N,FALSE
ohm,Ohm,Ohm,FALSE
pascal,Pa,Pa,FALSE
radian,rad,rad,FALSE
siemens,S,S,FALSE
sievert,Sv,Sv,FALSE
steradian,sr,sr,FALSE
tesla,T,T,FALSE
volt,V,V,FALSE
watt,W,W,FALSE
weber,Wb,Wb,FALSE
astronomical unit,AU,AU,FALSE
bel,B,B,FALSE
dalton,u,u,FALSE
day,d,d,FALSE
degree,deg,deg,FALSE
electronvolt,eV,eV,FALSE
hectare,har,har,FALSE
hour,h,h,FALSE
litre,L,L,FALSE
minute,min,min,FALSE
minute (plane angle),',PAM,FALSE
neper,Np,Np,FALSE
second (plane angle),'',PAS,FALSE
molar,mol.L-1,mol.L-1,FALSE
einstein,E,E,FALSE
enzyme unit,U,U,FALSE
dyne,dyn,dyn,FALSE
curie,Ci,Ci,FALSE
angstrom,Ao,Ao,FALSE
byte,By,By,FALSE
week,wk,wk,FALSE
month,mo,mo,FALSE
year,a,a,FALSE
rad,RAD,RAD,FALSE
roentgen,R,R,FALSE
roentgen equivalent man,REM,REM,FALSE
degree,deg,deg,FALSE
percent,%,PCT,FALSE
bit,bit,bit,FALSE
poise,P,P,FALSE
bar,bar,bar,FALSE
are,ar,ar,FALSE
degree,deg,deg,FALSE
tonne,t,t,FALSE