ontology ID,label,SubClass Of,definition,definition cross reference,exact synonym
UO:0000011,ampere,base unit|electric current unit,"An electric current unit which is equal to the constant current which, if maintained in two straight parallel conductors of infinite length, of negligible circular cross-section, and placed 1 m apart in vacuum, would produce between these conductors a force equal to 2 x 10^[-7] newton per meter of length.",BIPM:BIPM|NIST:NIST,A
UO:0000132,becquerel,UO:0000128,An activity (of a radionuclide) unit which is equal to the activity of a quantity of radioactive material in which one nucleus decays per second or there is one atom disintegration per second (dps).,NIST:NIST,Bq
UO:0000014,candela,base unit|luminous intensity unit,"A luminous intensity unit which equal to the luminous intensity, in a given direction, of a source that emits monochromatic radiation of frequency 540 x 1012 hertz and that has a radiant intensity in that direction of 1/683 watt per steradian.",BIPM:BIPM|NIST:NIST,cd
UO:0000220,coulomb,electric charge,An electrical charge unit which is equal to the amount of charge transferred by a current of 1 ampere in 1 second.,WordNet:WordNet,C
UO:0000221,dalton,mass unit,"An independently to the base SI units defined mass unit which is equal to one twelfth of the mass of an unbound atom of the carbon-12 nuclide, at rest and in its ground state.",Wikipedia:Wikipedia,Da|amu|u|unified atomic mass unit
UO:0000185,degree,plane angle unit,A plane angle unit which is equal to 1/360 of a full rotation or 1.7453310^[-2] rad.,Wikipedia:Wikipedia,
UO:0000266,electronvolt,energy unit,A non-SI unit of energy (eV) defined as the energy acquired by a single unbound electron when it passes through an electrostatic potential difference of one volt. An electronvolt is equal to 1.602 176 53(14) x 10^-19 J.,Wikipedia:Wikipedia,eV|electron volt
UO:0000021,gram,mass unit,A mass unit which is equal to one thousandth of a kilogram or 10^[-3] kg.,NIST:NIST,g
UO:0000134,gray,absorbed dose unit,An absorbed dose unit which is equal to the absorption of one joule of radiation energy by one kilogram of matter.,NIST:NIST,Gy
UO:0010010,hectare,area unit,"An area unit which is equal to an area of 10,000 square meters. Equivalent to 2.471 acres.",Wikipedia:Wikipedia,HA
UO:0000106,hertz,frequency unit,A frequency unit which is equal to 1 complete cycle of a recurring phenomenon in 1 second.,NIST:NIST,Hz|s^1
UO:0000112,joule,energy unit,An energy unit which is equal to the energy required when a force of 1 newton moves an object 1 meter in the direction of the force.,NIST:NIST,J
UO:0000120,katal,catalytic activity unit,"A catalytic unit activity which is equal to the activity of a catalyst in moles per second, such as the amount of an enzyme needed to transform one mole of substrate per second.",NIST:NIST,kat
UO:0000012,kelvin,base unit|temperature unit,A thermodynamic temperature unit which is equal to the fraction 1/273.16 of the thermodynamic temperature of the triple point of water.,BIPM:BIPM|NIST:NIST,K
UO:0000099,liter,volume unit,"A volume unit which is equal to one thousandth of a cubic meter or 10^[-3] m^[3], or to 1 decimeter.",NIST:NIST,L|l|litre
UO:0000118,lumen,luminous flux unit,A luminous flux unit which is equal to the luminous flux emitted into 1 steradian by a point source of 1 candela.,NIST:NIST,lm
UO:0000116,lux,illuminance unit,An illuminance unit which is equal to the illuminance produced by 1 lumen evenly spread over an area 1 m^[2].,NIST:NIST,lx
UO:0000008,meter,base unit|length unit,A length unit which is equal to the length of the path traveled by light in vacuum during a time interval of 1/299 792 458 of a second.,BIPM:BIPM|NIST:NIST,m|metre
UO:0000013,mole,base unit|substance unit,A substance unit which is equal to the amount of substance of a molecular system which contains as many elementary entities as there are atoms in 0.012 kilogram of carbon 12.,BIPM:BIPM|NIST:NIST,mol
UO:0000108,newton,force unit,A force unit which is equal to the force required to cause an acceleration of 1m/s2 of a mass of 1 Kg in the direction of the force.,NIST:NIST,N
UO:0000110,pascal,pressure unit,A pressure unit which is equal to the pressure or stress on a surface caused by a force of 1 newton spread over a surface of 1 m^[2].,NIST:NIST,Pa
UO:0000123,radian,plane angle unit,"A plane angle unit which is equal to the angle subtended at the center of a circle by an arc equal in length to the radius of the circle, approximately 57 degrees 17 minutes and 44.6 seconds.",NIST:NIST,rad
UO:0000010,second,base unit|time unit,A time unit which is equal to the duration of 9 192 631 770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium 133 atom.,BIPM:BIPM|NIST:NIST,s
UO:0000264,siemens,electrical conduction unit,An electrical conduction unit which is equal to A/V.,NIST:NIST,A V^-1
UO:0000137,sievert,dose equivalent unit,A dose equivalent unit which is equal to the absorption of one joule of radiation energy by one kilogram of matter.,NIST:NIST,Sv
UO:0000125,steradian,solid angle unit,A solid angle unit which is equal to the solid angle subtended at the center of a sphere by an area on the surface of the sphere that is equal to the radius squared.,NIST:NIST,sr
UO:0000228,tesla,magnetic flux density unit,A magnetic flux density unit which is equal to one weber per square meter.,WordNet:WordNet,T|Wb/m2
UO:0010038,ton,mass unit,"An imperial mass unit which is equivalent to 1,016.046,9088 kilograms, or 2,240 pounds.",Wikipedia:Wikipedia,t
UO:0000218,volt,electric potential difference unit,An electric potential difference unit which is equal to the work per unit charge. One volt is the potential difference required to move one coulomb of charge between two points in a circuit while using one joule of energy.,Wikipedia:Wikipedia,V
UO:0000114,watt,power unit,A power unit which is equal to the power used when work is done at the rate of 1 joule per second.,NIST:NIST,W
UO:0000226,weber,magnetic flux unit,A magnetic flux unit which is equal to the amount of flux that when linked with a single turn of wire for an interval of one second will induce an electromotive force of one volt.,ScienceLobby:ScienceLobby,V s|Wb