Ontology ID,label,parent class,equivalence axiom,definition,UCUM code
ID,AL rdfs:label@en,SC %,EC %,AL IAO:0000115@en,A oboInOwl:hasDbXref SPLIT=|
UO:1101000,yottaampere,ampere,ampere and ('has prefix' some yotta),A unit which is equal to 10^[24] ampere.,YA
UO:1101001,zettaampere,ampere,ampere and ('has prefix' some zetta),A unit which is equal to 10^[21] ampere.,ZA
UO:1101002,exaampere,ampere,ampere and ('has prefix' some exa),A unit which is equal to 10^[18] ampere.,EA
UO:1101003,petaampere,ampere,ampere and ('has prefix' some peta),A unit which is equal to 10^[15] ampere.,PA
UO:1101004,teraampere,ampere,ampere and ('has prefix' some tera),A unit which is equal to 10^[12] ampere.,TA
UO:1101005,gigaampere,ampere,ampere and ('has prefix' some giga),A unit which is equal to 10^[9] ampere.,GA
UO:1101006,megaampere,ampere,ampere and ('has prefix' some mega),A unit which is equal to 10^[6] ampere.,MA
UO:1101007,kiloampere,ampere,ampere and ('has prefix' some kilo),A unit which is equal to 10^[3] ampere.,kA
UO:1101008,hectoampere,ampere,ampere and ('has prefix' some hecto),A unit which is equal to 10^[2] ampere.,hA
UO:1101009,decaampere,ampere,ampere and ('has prefix' some deca),A unit which is equal to 10^[1] ampere.,daA
UO:1101010,deciampere,ampere,ampere and ('has prefix' some deci),A unit which is equal to 10^[-1] ampere.,dA
UO:1101011,centiampere,ampere,ampere and ('has prefix' some centi),A unit which is equal to 10^[-2] ampere.,cA
UO:0000037,milliampere,ampere,ampere and ('has prefix' some milli),A unit which is equal to 10^[-3] ampere.,mA
UO:0000038,microampere,ampere,ampere and ('has prefix' some micro),A unit which is equal to 10^[-6] ampere.,μA
UO:1101012,nanoampere,ampere,ampere and ('has prefix' some nano),A unit which is equal to 10^[-9] ampere.,nA
UO:0010054,picoampere,ampere,ampere and ('has prefix' some pico),A unit which is equal to 10^[-12] ampere.,pA
UO:1101013,femtoampere,ampere,ampere and ('has prefix' some femto),A unit which is equal to 10^[-15] ampere.,fA
UO:1101014,attoampere,ampere,ampere and ('has prefix' some atto),A unit which is equal to 10^[-18] ampere.,aA
UO:1101015,zeptoampere,ampere,ampere and ('has prefix' some zepto),A unit which is equal to 10^[-21] ampere.,zA
UO:1101016,yoctoampere,ampere,ampere and ('has prefix' some yocto),A unit which is equal to 10^[-24] ampere.,yA
UO:1101017,yottamole,mole,mole and ('has prefix' some yotta),A unit which is equal to 10^[24] mole.,Ymol
UO:1101018,zettamole,mole,mole and ('has prefix' some zetta),A unit which is equal to 10^[21] mole.,Zmol
UO:1101019,examole,mole,mole and ('has prefix' some exa),A unit which is equal to 10^[18] mole.,Emol
UO:1101020,petamole,mole,mole and ('has prefix' some peta),A unit which is equal to 10^[15] mole.,Pmol
UO:1101021,teramole,mole,mole and ('has prefix' some tera),A unit which is equal to 10^[12] mole.,Tmol
UO:1101022,gigamole,mole,mole and ('has prefix' some giga),A unit which is equal to 10^[9] mole.,Gmol
UO:1101023,megamole,mole,mole and ('has prefix' some mega),A unit which is equal to 10^[6] mole.,Mmol
UO:1101024,kilomole,mole,mole and ('has prefix' some kilo),A unit which is equal to 10^[3] mole.,kmol
UO:1101025,hectomole,mole,mole and ('has prefix' some hecto),A unit which is equal to 10^[2] mole.,hmol
UO:1101026,decamole,mole,mole and ('has prefix' some deca),A unit which is equal to 10^[1] mole.,damol
UO:1101027,decimole,mole,mole and ('has prefix' some deci),A unit which is equal to 10^[-1] mole.,dmol
UO:1101028,centimole,mole,mole and ('has prefix' some centi),A unit which is equal to 10^[-2] mole.,cmol
UO:0000040,millimole,mole,mole and ('has prefix' some milli),A unit which is equal to 10^[-3] mole.,mmol
UO:0000039,micromole,mole,mole and ('has prefix' some micro),A unit which is equal to 10^[-6] mole.,μmol
UO:0000041,nanomole,mole,mole and ('has prefix' some nano),A unit which is equal to 10^[-9] mole.,nmol
UO:0000042,picomole,mole,mole and ('has prefix' some pico),A unit which is equal to 10^[-12] mole.,pmol
UO:0000043,femtomole,mole,mole and ('has prefix' some femto),A unit which is equal to 10^[-15] mole.,fmol
UO:0000044,attomole,mole,mole and ('has prefix' some atto),A unit which is equal to 10^[-18] mole.,amol
UO:1101029,zeptomole,mole,mole and ('has prefix' some zepto),A unit which is equal to 10^[-21] mole.,zmol
UO:1101030,yoctomole,mole,mole and ('has prefix' some yocto),A unit which is equal to 10^[-24] mole.,ymol
UO:1101031,yottameter,meter,meter and ('has prefix' some yotta),A unit which is equal to 10^[24] meter.,Ym
UO:1101032,zettameter,meter,meter and ('has prefix' some zetta),A unit which is equal to 10^[21] meter.,Zm
UO:1101033,exameter,meter,meter and ('has prefix' some exa),A unit which is equal to 10^[18] meter.,Em
UO:1101034,petameter,meter,meter and ('has prefix' some peta),A unit which is equal to 10^[15] meter.,Pm
UO:1101035,terameter,meter,meter and ('has prefix' some tera),A unit which is equal to 10^[12] meter.,Tm
UO:1101036,gigameter,meter,meter and ('has prefix' some giga),A unit which is equal to 10^[9] meter.,Gm
UO:1101037,megameter,meter,meter and ('has prefix' some mega),A unit which is equal to 10^[6] meter.,Mm
UO:1101038,kilometer,meter,meter and ('has prefix' some kilo),A unit which is equal to 10^[3] meter.,km
UO:1101039,hectometer,meter,meter and ('has prefix' some hecto),A unit which is equal to 10^[2] meter.,hm
UO:1101040,decameter,meter,meter and ('has prefix' some deca),A unit which is equal to 10^[1] meter.,dam
UO:1101041,decimeter,meter,meter and ('has prefix' some deci),A unit which is equal to 10^[-1] meter.,dm
UO:0000015,centimeter,meter,meter and ('has prefix' some centi),A unit which is equal to 10^[-2] meter.,cm
UO:0000016,millimeter,meter,meter and ('has prefix' some milli),A unit which is equal to 10^[-3] meter.,mm
UO:0000017,micrometer,meter,meter and ('has prefix' some micro),A unit which is equal to 10^[-6] meter.,μm
UO:0000018,nanometer,meter,meter and ('has prefix' some nano),A unit which is equal to 10^[-9] meter.,nm
UO:0000020,picometer,meter,meter and ('has prefix' some pico),A unit which is equal to 10^[-12] meter.,pm
UO:1101042,femtometer,meter,meter and ('has prefix' some femto),A unit which is equal to 10^[-15] meter.,fm
UO:1101043,attometer,meter,meter and ('has prefix' some atto),A unit which is equal to 10^[-18] meter.,am
UO:1101044,zeptometer,meter,meter and ('has prefix' some zepto),A unit which is equal to 10^[-21] meter.,zm
UO:1101045,yoctometer,meter,meter and ('has prefix' some yocto),A unit which is equal to 10^[-24] meter.,ym
